sample_id,plate,slot,material,region,environment,is_outlier,c1_baseline_mWC,c1_endpoint_mWC,c1_pct_change,c2_apr_raw_mWC,c2_apr_temp_C,c2_apr_corrected_mWC,c2_apr_date,c2_jun_raw_mWC,c2_jun_temp_C,c2_jun_corrected_mWC,c2_jun_date,c2_apr_vs_baseline_pct,c2_jun_vs_baseline_pct,c2_jun_vs_apr_pct,c2_jun_vs_c1end_pct
Y-30-3,30,3,SmCo33H,South Linac,tunnel,False,1.0397,1.0373,-0.2338,1.0344,25.6000,1.0367,2026-04-20,1.0375,28.9103,1.0412,2026-06-02,-0.2885,0.1453,0.4351,0.3770
Y-30-4,30,4,N52SH,South Linac,tunnel,False,1.3090,1.3055,-0.2672,1.2956,25.7000,1.3038,2026-04-20,1.2962,29.0567,1.3092,2026-06-02,-0.3972,0.0186,0.4175,0.2867
Y-32-1,32,1,N52SH,SW Arc,tunnel,False,1.3100,1.3045,-0.4159,1.2940,27.7000,1.3050,2026-04-20,1.2964,29.7730,1.3105,2026-06-02,-0.3817,0.0373,0.4205,0.4590
Y-32-2,32,2,SmCo35,SW Arc,tunnel,False,1.0807,1.0783,-0.2235,1.0757,27.5000,1.0789,2026-04-20,1.0770,29.2557,1.0810,2026-06-02,-0.1666,0.0280,0.1948,0.2506
Y-32-3,32,3,N42EH,SW Arc,tunnel,False,1.1765,1.1711,-0.4550,1.1627,27.6000,1.1716,2026-04-20,1.1610,29.4060,1.1720,2026-06-02,-0.4165,-0.3804,0.0362,0.0789
Y-32-4,32,4,SmCo33H,SW Arc,tunnel,False,1.0414,1.0413,-0.0050,1.0365,27.5000,1.0396,2026-04-20,1.0372,29.3593,1.0411,2026-06-02,-0.1728,-0.0290,0.1441,-0.0194
Y-34-1,34,1,SmCo35,NW Arc,tunnel,False,1.0854,1.0852,-0.0196,1.0794,28.5000,1.0831,2026-04-20,1.0795,29.6497,1.0837,2026-06-02,-0.2119,-0.1582,0.0538,-0.1398
Y-34-2,34,2,N42EH,NW Arc,tunnel,False,1.1833,1.1808,-0.2082,1.1678,28.5000,1.1778,2026-04-20,1.1690,29.6710,1.1804,2026-06-02,-0.4648,-0.2437,0.2221,-0.0325
Y-34-3,34,3,SmCo33H,NW Arc,tunnel,False,1.0405,1.0400,-0.0481,1.0354,28.5000,1.0389,2026-04-20,1.0369,29.5947,1.0409,2026-06-02,-0.1538,0.0379,0.1920,0.0860
Y-34-4,34,4,N52SH,NW Arc,tunnel,True,1.1775,1.3103,11.2819,1.2940,28.4000,1.3061,2026-04-20,1.2955,29.5093,1.3092,2026-06-02,10.9214,11.1842,0.2369,-0.0844
Y-36-1,36,1,N52SH,NW Arc,tunnel,False,1.3120,1.3094,-0.1962,1.2955,28.6000,1.3078,2026-04-20,1.2961,28.8040,1.3088,2026-06-02,-0.3201,-0.2458,0.0745,-0.0478
Y-36-2,36,2,SmCo35,NW Arc,tunnel,False,1.0841,1.0834,-0.0634,1.0785,28.5000,1.0822,2026-04-20,1.0791,28.8093,1.0829,2026-06-02,-0.1753,-0.1092,0.0662,-0.0447
Y-36-3,36,3,N42EH,NW Arc,tunnel,False,1.1839,1.1813,-0.2166,1.1689,28.4000,1.1788,2026-04-20,1.1693,28.8327,1.1797,2026-06-02,-0.4308,-0.3531,0.0781,-0.1337
Y-36-4,36,4,SmCo33H,NW Arc,tunnel,False,1.0372,1.0396,0.2305,1.0338,28.5000,1.0373,2026-04-20,1.0362,28.9627,1.0399,2026-06-02,0.0096,0.2630,0.2534,0.0316
Y-38-1,38,1,SmCo35,NW Arc,tunnel,False,1.0813,1.0810,-0.0216,1.0767,28.0000,1.0802,2026-04-20,1.0760,28.2483,1.0796,2026-06-02,-0.1017,-0.1607,-0.0591,-0.1330
Y-38-2,38,2,N42EH,NW Arc,tunnel,False,1.1839,1.1798,-0.3485,1.1662,28.3000,1.1759,2026-04-20,1.1692,28.5817,1.1793,2026-06-02,-0.6757,-0.3868,0.2909,-0.0406
Y-38-3,38,3,SmCo33H,NW Arc,tunnel,False,1.0362,1.0392,0.2929,1.0335,28.4000,1.0370,2026-04-20,1.0356,28.7383,1.0392,2026-06-02,0.0772,0.2927,0.2153,0.0031
Y-38-4,38,4,N52SH,NW Arc,tunnel,False,1.3107,1.3055,-0.3997,1.2921,28.6000,1.3045,2026-04-20,1.2914,28.9383,1.3042,2026-06-02,-0.4730,-0.4941,-0.0212,-0.0978
Y-39-1,39,1,N42EH,NE Arc,tunnel,False,1.1839,1.1742,-0.8218,1.1692,26.5000,1.1769,2026-04-20,1.1676,27.7917,1.1768,2026-06-03,-0.5913,-0.6023,-0.0111,0.2188
Y-39-2,39,2,SmCo33H,NE Arc,tunnel,False,1.0338,1.0381,0.4216,1.0366,26.9000,1.0395,2026-04-20,1.0373,27.8540,1.0406,2026-06-03,0.5514,0.6548,0.1028,0.2378
Y-39-3,39,3,N52SH,NE Arc,tunnel,False,1.3118,1.3047,-0.5429,1.2985,27.2000,1.3088,2026-04-20,1.2973,27.8670,1.3086,2026-06-03,-0.2287,-0.2421,-0.0134,0.3008
Y-39-4,39,4,SmCo35,NE Arc,tunnel,False,1.0816,1.0783,-0.2986,1.0757,27.4000,1.0789,2026-04-20,1.0775,28.0553,1.0810,2026-06-03,-0.2496,-0.0570,0.1931,0.2488
