sample_id,sample_type,material,plate,slot,environment,region,config
An-39-4-2,A,NdFeB,39,4,tunnel,NW Arc,Gamma
Hs-1-1,H,SmCo,1,1,tunnel,SW Arc,Alpha
As-1-1-1,A,SmCo,1,1,tunnel,SW Arc,Alpha
As-1-1-2,A,SmCo,1,1,tunnel,SW Arc,Alpha
Hs-1-2,H,SmCo,1,2,tunnel,SW Arc,Beta
As-1-2-1,A,SmCo,1,2,tunnel,SW Arc,Beta
As-1-2-2,A,SmCo,1,2,tunnel,SW Arc,Beta
Hs-1-3,H,SmCo,1,3,tunnel,SW Arc,Gamma
As-1-3-1,A,SmCo,1,3,tunnel,SW Arc,Gamma
As-1-3-2,A,SmCo,1,3,tunnel,SW Arc,Gamma
Hs-1-4,H,SmCo,1,4,tunnel,SW Arc,Delta
As-1-4-1,A,SmCo,1,4,tunnel,SW Arc,Delta
As-1-4-2,A,SmCo,1,4,tunnel,SW Arc,Delta
Hs-2-1,H,SmCo,2,1,tunnel,SW Arc,Beta
As-2-1-1,A,SmCo,2,1,tunnel,SW Arc,Beta
As-2-1-2,A,SmCo,2,1,tunnel,SW Arc,Beta
Hs-2-2,H,SmCo,2,2,tunnel,SW Arc,Alpha
As-2-2-1,A,SmCo,2,2,tunnel,SW Arc,Alpha
As-2-2-2,A,SmCo,2,2,tunnel,SW Arc,Alpha
Hs-2-3,H,SmCo,2,3,tunnel,SW Arc,Gamma
As-2-3-1,A,SmCo,2,3,tunnel,SW Arc,Gamma
As-2-3-2,A,SmCo,2,3,tunnel,SW Arc,Gamma
Hs-2-4,H,SmCo,2,4,tunnel,SW Arc,Delta
As-2-4-1,A,SmCo,2,4,tunnel,SW Arc,Delta
As-2-4-2,A,SmCo,2,4,tunnel,SW Arc,Delta
Hs-3-1,H,SmCo,3,1,tunnel,SW Arc,Gamma
As-3-1-1,A,SmCo,3,1,tunnel,SW Arc,Gamma
As-3-1-2,A,SmCo,3,1,tunnel,SW Arc,Gamma
Hs-3-2,H,SmCo,3,2,tunnel,SW Arc,Alpha
As-3-2-1,A,SmCo,3,2,tunnel,SW Arc,Alpha
As-3-2-2,A,SmCo,3,2,tunnel,SW Arc,Alpha
Hs-3-3,H,SmCo,3,3,tunnel,SW Arc,Beta
As-3-3-1,A,SmCo,3,3,tunnel,SW Arc,Beta
As-3-3-2,A,SmCo,3,3,tunnel,SW Arc,Beta
Hs-3-4,H,SmCo,3,4,tunnel,SW Arc,Delta
As-3-4-1,A,SmCo,3,4,tunnel,SW Arc,Delta
As-3-4-2,A,SmCo,3,4,tunnel,SW Arc,Delta
Hs-4-1,H,SmCo,4,1,tunnel,Labyrinth,Delta
As-4-1-1,A,SmCo,4,1,tunnel,Labyrinth,Delta
As-4-1-2,A,SmCo,4,1,tunnel,Labyrinth,Delta
Hs-4-2,H,SmCo,4,2,tunnel,Labyrinth,Alpha
As-4-2-1,A,SmCo,4,2,tunnel,Labyrinth,Alpha
As-4-2-2,A,SmCo,4,2,tunnel,Labyrinth,Alpha
Hs-4-3,H,SmCo,4,3,tunnel,Labyrinth,Beta
As-4-3-1,A,SmCo,4,3,tunnel,Labyrinth,Beta
As-4-3-2,A,SmCo,4,3,tunnel,Labyrinth,Beta
Hs-4-4,H,SmCo,4,4,tunnel,Labyrinth,Gamma
As-4-4-1,A,SmCo,4,4,tunnel,Labyrinth,Gamma
As-4-4-2,A,SmCo,4,4,tunnel,Labyrinth,Gamma
Hs-5-1,H,SmCo,5,1,tunnel,Labyrinth,Alpha
As-5-1-1,A,SmCo,5,1,tunnel,Labyrinth,Alpha
As-5-1-2,A,SmCo,5,1,tunnel,Labyrinth,Alpha
Hs-5-2,H,SmCo,5,2,tunnel,Labyrinth,Gamma
As-5-2-1,A,SmCo,5,2,tunnel,Labyrinth,Gamma
As-5-2-2,A,SmCo,5,2,tunnel,Labyrinth,Gamma
Hs-5-3,H,SmCo,5,3,tunnel,Labyrinth,Beta
As-5-3-1,A,SmCo,5,3,tunnel,Labyrinth,Beta
As-5-3-2,A,SmCo,5,3,tunnel,Labyrinth,Beta
Hs-5-4,H,SmCo,5,4,tunnel,Labyrinth,Delta
As-5-4-1,A,SmCo,5,4,tunnel,Labyrinth,Delta
As-5-4-2,A,SmCo,5,4,tunnel,Labyrinth,Delta
Hs-6-1,H,SmCo,6,1,tunnel,NE Arc,Beta
As-6-1-1,A,SmCo,6,1,tunnel,NE Arc,Beta
As-6-1-2,A,SmCo,6,1,tunnel,NE Arc,Beta
Hs-6-2,H,SmCo,6,2,tunnel,NE Arc,Alpha
As-6-2-1,A,SmCo,6,2,tunnel,NE Arc,Alpha
As-6-2-2,A,SmCo,6,2,tunnel,NE Arc,Alpha
Hs-6-3,H,SmCo,6,3,tunnel,NE Arc,Delta
As-6-3-1,A,SmCo,6,3,tunnel,NE Arc,Delta
As-6-3-2,A,SmCo,6,3,tunnel,NE Arc,Delta
Hs-6-4,H,SmCo,6,4,tunnel,NE Arc,Gamma
As-6-4-1,A,SmCo,6,4,tunnel,NE Arc,Gamma
As-6-4-2,A,SmCo,6,4,tunnel,NE Arc,Gamma
Hs-7-1,H,SmCo,7,1,tunnel,North Linac,Gamma
As-7-1-1,A,SmCo,7,1,tunnel,North Linac,Gamma
As-7-1-2,A,SmCo,7,1,tunnel,North Linac,Gamma
Hs-7-2,H,SmCo,7,2,tunnel,North Linac,Alpha
As-7-2-1,A,SmCo,7,2,tunnel,North Linac,Alpha
As-7-2-2,A,SmCo,7,2,tunnel,North Linac,Alpha
Hs-7-3,H,SmCo,7,3,tunnel,North Linac,Beta
As-7-3-1,A,SmCo,7,3,tunnel,North Linac,Beta
As-7-3-2,A,SmCo,7,3,tunnel,North Linac,Beta
Hs-7-4,H,SmCo,7,4,tunnel,North Linac,Delta
As-7-4-1,A,SmCo,7,4,tunnel,North Linac,Delta
As-7-4-2,A,SmCo,7,4,tunnel,North Linac,Delta
Hs-10-1,H,SmCo,10,1,tunnel,SW Arc,Beta
As-10-1-1,A,SmCo,10,1,tunnel,SW Arc,Beta
As-10-1-2,A,SmCo,10,1,tunnel,SW Arc,Beta
Hs-10-2,H,SmCo,10,2,tunnel,SW Arc,Gamma
As-10-2-1,A,SmCo,10,2,tunnel,SW Arc,Gamma
As-10-2-2,A,SmCo,10,2,tunnel,SW Arc,Gamma
Hs-10-3,H,SmCo,10,3,tunnel,SW Arc,Delta
As-10-3-1,A,SmCo,10,3,tunnel,SW Arc,Delta
As-10-3-2,A,SmCo,10,3,tunnel,SW Arc,Delta
Hs-10-4,H,SmCo,10,4,tunnel,SW Arc,Alpha
