#  N                 name        S[cm]        X[cm]        Y[cm]        Z[cm]   TetaX[deg]   TetaY[deg]  Energy[Mev]
  276  MBT1L13H                10583.862     8060.000    10000.000    -4727.595        0.000        0.000      446.989
  277  D10017                  10605.833     8060.000    10000.000    -4705.624        0.000        0.000      446.989
  278  MAT1L13V                10605.833     8060.000    10000.000    -4705.624        0.000        0.000      446.989
  279  D10018                  10623.809     8060.000    10000.000    -4687.648        0.000        0.000      446.989
  280  IPM1L13                 10623.809     8060.000    10000.000    -4687.648        0.000        0.000      446.989
  281  D10016                  10625.504     8060.000    10000.000    -4685.953        0.000        0.000      446.989
  282  MQSnl                   10632.504     8060.000    10000.000    -4678.953        0.000        0.000      446.989
  283  D10010                  10642.504     8060.000    10000.000    -4668.953        0.000        0.000      446.989
  284  MQB1L13                 10657.504     8060.000    10000.000    -4653.953        0.000        0.000      446.989
  285  D10005                  10768.414     8060.000    10000.000    -4543.043        0.000        0.000      446.989
  286  R1D1                    10818.414     8060.000    10000.000    -4493.043        0.000        0.000      450.677
  287  D10006                  10843.414     8060.000    10000.000    -4468.043        0.000        0.000      450.677
  288  R1D2                    10893.414     8060.000    10000.000    -4418.043        0.000        0.000      454.364
  289  D10007                  10959.474     8060.000    10000.000    -4351.983        0.000        0.000      454.364
  290  R1D3                    11009.474     8060.000    10000.000    -4301.983        0.000        0.000      458.052
  291  D10006                  11034.474     8060.000    10000.000    -4276.983        0.000        0.000      458.052
  292  R1D4                    11084.474     8060.000    10000.000    -4226.983        0.000        0.000      461.739
  293  D10007                  11150.534     8060.000    10000.000    -4160.923        0.000        0.000      461.739
  294  R1D5                    11200.534     8060.000    10000.000    -4110.923        0.000        0.000      465.427
  295  D10006                  11225.534     8060.000    10000.000    -4085.923        0.000        0.000      465.427
  296  R1D6                    11275.534     8060.000    10000.000    -4035.923        0.000        0.000      469.114
  297  D10007                  11341.594     8060.000    10000.000    -3969.863        0.000        0.000      469.114
  298  R1D7                    11391.594     8060.000    10000.000    -3919.863        0.000        0.000      472.802
  299  D10006                  11416.594     8060.000    10000.000    -3894.863        0.000        0.000      472.802
  300  R1D8                    11466.594     8060.000    10000.000    -3844.863        0.000        0.000      476.489
  301  D10019                  11532.102     8060.000    10000.000    -3779.355        0.000        0.000      476.489
  302  ITV1L14                 11532.102     8060.000    10000.000    -3779.355        0.000        0.000      476.489
  303  D10020                  11543.862     8060.000    10000.000    -3767.595        0.000        0.000      476.489
  304  MAT1L14H                11543.862     8060.000    10000.000    -3767.595        0.000        0.000      476.489
  305  D10015                  11583.809     8060.000    10000.000    -3727.648        0.000        0.000      476.489
  306  IPM1L14                 11583.809     8060.000    10000.000    -3727.648        0.000        0.000      476.489
  307  D10016                  11585.504     8060.000    10000.000    -3725.953        0.000        0.000      476.489
  308  MQSnl                   11592.504     8060.000    10000.000    -3718.953        0.000        0.000      476.489
  309  D10010                  11602.504     8060.000    10000.000    -3708.953        0.000        0.000      476.489
  310  MQB1L14                 11617.504     8060.000    10000.000    -3693.953        0.000        0.000      476.489
  311  D10005                  11728.414     8060.000    10000.000    -3583.043        0.000        0.000      476.489
  312  R1E1                    11778.414     8060.000    10000.000    -3533.043        0.000        0.000      480.177
  313  D10006                  11803.414     8060.000    10000.000    -3508.043        0.000        0.000      480.177
  314  R1E2                    11853.414     8060.000    10000.000    -3458.043        0.000        0.000      483.864
  315  D10007                  11919.474     8060.000    10000.000    -3391.983        0.000        0.000      483.864
  316  R1E3                    11969.474     8060.000    10000.000    -3341.983        0.000        0.000      487.552
  317  D10006                  11994.474     8060.000    10000.000    -3316.983        0.000        0.000      487.552
  318  R1E4                    12044.474     8060.000    10000.000    -3266.983        0.000        0.000      491.239
  319  D10007                  12110.534     8060.000    10000.000    -3200.923        0.000        0.000      491.239
  320  R1E5                    12160.534     8060.000    10000.000    -3150.923        0.000        0.000      494.927
  321  D10006                  12185.534     8060.000    10000.000    -3125.923        0.000        0.000      494.927
  322  R1E6                    12235.534     8060.000    10000.000    -3075.923        0.000        0.000      498.614
  323  D10007                  12301.594     8060.000    10000.000    -3009.863        0.000        0.000      498.614
  324  R1E7                    12351.594     8060.000    10000.000    -2959.863        0.000        0.000      502.302
  325  D10006                  12376.594     8060.000    10000.000    -2934.863        0.000        0.000      502.302
  326  R1E8                    12426.594     8060.000    10000.000    -2884.863        0.000        0.000      505.989
  327  D10021                  12525.833     8060.000    10000.000    -2785.624        0.000        0.000      505.989
  328  MAT1L15V                12525.833     8060.000    10000.000    -2785.624        0.000        0.000      505.989
  329  D10018                  12543.809     8060.000    10000.000    -2767.648        0.000        0.000      505.989
