plate,date,photon_cum_rem,sigma_p_rem,neutron_cum_rem,sigma_n_rem,days_since_install
Hn-10,2025-05-21,157.544,0.0,5.21,0.0,131.0
Hn-10,2025-07-30,920.122,0.0,15.530000000000001,0.0,201.0
Hn-10,2025-08-27,1001.718,0.0,16.490000000000002,0.0,229.0
Hn-10,2025-10-21,1019.5179999999999,0.0,16.490000000000002,0.0,243.0
Hn-10,2026-01-08,1019.5239999999999,0.0,16.490000000000002,0.0,363.0
Hs-10,2024-11-20,0.188,0.0,0.0,0.0,61.0
Hs-10,2025-05-07,524.597,0.0,2.85,0.0,117.0
Hs-10,2025-07-30,52220.287,5814.493518892827,31.159999999999997,0.0,201.0
Hs-10,2025-08-27,83621.337,9951.60660926152,31.159999999999997,0.0,229.0
Hs-10,2025-10-29,88946.857,10217.60660926152,31.159999999999997,0.0,243.0
Hs-10,2026-01-12,88946.863,10217.60660926152,31.159999999999997,0.0,367.0
Hn-11,2024-11-11,0.0,0.0,0.0,0.0,0.0
Hn-11,2024-11-19,0.0,0.0,0.0,0.0,0.0
Hn-11,2025-05-07,367.94100000000003,0.0,7.36,0.0,117.0
Hn-11,2025-05-21,367.94100000000003,0.0,7.45,0.0,131.0
Hn-11,2025-06-17,8310.901,329.8399999999997,8.05,0.0,152.0
Hn-11,2025-07-17,26633.381,1170.3999999999992,11.16,0.0,188.0
Hn-11,2025-08-27,70376.391,8480.925625651003,13.33,0.0,229.0
Hn-11,2025-10-23,74467.671,8534.125625651002,13.58,0.0,243.0
Hn-11,2026-01-08,74467.671,8534.125625651002,13.58,0.0,363.0
Hn-12,2024-11-11,0.0,0.0,0.0,0.0,0.0
Hn-12,2024-11-18,0.0,0.0,0.0,0.0,0.0
Hn-12,2025-05-07,13.081000000000001,0.0,0.67,0.0,117.0
Hn-12,2025-05-21,39.260000000000005,0.0,0.81,0.0,131.0
Hn-12,2025-06-17,159.20100000000002,0.0,1.61,0.0,152.0
Hn-12,2025-07-17,373.976,0.0,4.47,0.0,188.0
Hn-12,2025-08-27,763.3009999999999,0.0,7.869999999999999,0.0,229.0
Hn-12,2025-10-23,812.3739999999999,0.0,8.04,0.0,243.0
Hn-12,2026-01-08,812.3739999999999,0.0,8.04,0.0,363.0
Hs-12,2024-11-21,0.0,0.0,0.0,0.0,0.0
Hs-12,2025-05-07,290.549,0.0,13.71,0.0,117.0
Hs-12,2025-05-21,344.44,0.0,14.06,0.0,131.0
Hs-12,2025-06-11,578.255,0.0,14.56,0.0,152.0
Hs-12,2025-07-17,940.019,0.0,15.629999999999999,0.0,188.0
Hs-12,2025-08-27,1689.338,0.0,16.33,0.0,229.0
Hs-12,2025-10-23,1804.623,0.0,16.33,0.0,243.0
Hs-12,2026-01-08,1804.631,0.0,16.33,0.0,363.0
Hs-13,2024-11-20,0.0,0.0,0.0,0.0,0.0
Hs-13,2025-04-23,196551.81,18971.832939371467,13103.454000000002,1264.7888626247645,103.0
Hs-13,2025-05-07,240176.74,20306.283337138277,16011.782666666668,1353.7522224758852,117.0
Hs-13,2025-07-30,447550.38,32871.25728910083,29836.692,2191.417152606722,201.0
Hs-13,2025-08-27,484597.23,38538.133550472696,32306.482,2569.2089033648467,229.0
Hs-13,2025-10-21,490241.94999999995,38633.8935504727,32318.052,2569.2089033648467,243.0
Hs-13,2026-01-12,490241.9849999999,38633.8935504727,32318.052,2569.2089033648467,367.0
Hs-14,2024-11-22,0.0,0.0,0.0,0.0,0.0
Hs-14,2025-05-07,439.72200000000004,0.0,12.85,0.0,117.0
Hs-14,2025-05-21,1939.722,500.0,13.89,0.0,131.0
Hs-14,2025-06-11,21918.262000000002,1032.08,14.51,0.0,152.0
Hs-14,2025-07-17,68493.372,7356.602902615283,15.93,0.0,188.0
Hs-14,2025-08-27,259770.622,244607.18999820435,16.7,0.0,229.0
Hs-14,2025-10-23,266883.662,244894.46999820435,16.84,0.0,243.0
Hs-14,2026-01-08,266883.67100000003,244894.46999820435,16.84,0.0,363.0
Hn-15,2024-11-11,0.0,0.0,0.0,0.0,0.0
