plate,collection_date,badge_serial,landauer_part_nbr,landauer_report_date,begin_wear,end_wear,body_mrem,skin_mrem,eye_mrem,beta_mrem,neutron_mrem,nt_mrem,nf_mrem,photon_mrem,exceeded_1000rad,saturated_osl,neutron_exceeded,dose_status
Hn-6,2025-05-21,XA012883762,1272,20250624,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-6,2025-06-17,XA027504949,1256,20250804,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-6,2025-07-02,XA02312961I,397,20250804,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-6,2025-07-30,XA00710509I,550,20250819,7/1/2025,12/31/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-6,2025-08-27,XA00773223J,264,20250915,7/1/2025,12/31/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-6,2025-09-10,XA02532790F,206,20250930,7/1/2025,12/31/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-6,2026-01-12,XA01834138E,182,20260320,7/1/2025,12/31/2025,60,56,60,0,0,0,0,60,False,False,False,MEASURED
Hn-8,2025-03-12,XA02347043N,913,20250331,1/1/2025,6/30/2025,155,183,168,30,0,0,0,125,False,False,False,MEASURED
Hn-8,2025-03-25,XA019480298,1024,20250331,1/1/2025,6/30/2025,52999,43023,51378,26333,2760,210,2550,23906,False,False,False,MEASURED
Hn-8,2025-04-08,XA02011930R,1123,20250502,1/1/2025,6/30/2025,107030,86683,103724,45685,4560,290,4270,56785,False,False,False,MEASURED
Hn-8,2025-04-23,XA022638644,1315,20250502,1/1/2025,6/30/2025,1169,1169,1169,0,0,0,0,1169,False,False,False,MEASURED
Hn-8,2025-05-07,XA008594737,1374,20250516,1/1/2025,6/30/2025,1113,1113,1113,0,0,0,0,1113,False,False,False,MEASURED
Hn-8,2025-05-21,XA024854446,1280,20250624,1/1/2025,6/30/2025,16959,16959,16959,0,190,10,180,16769,False,False,False,MEASURED
Hn-8,2025-06-17,XA00933512M,1179,20250804,1/1/2025,6/30/2025,326207,326207,326207,33570,4440,350,4090,288197,False,False,False,MEASURED
Hn-8,2025-07-02,XA01606133U,419,20250804,1/1/2025,6/30/2025,83171,66877,80524,14994,1110,100,1010,67067,False,False,False,MEASURED
Hn-8,2025-07-30,XA02208072U,574,20250819,7/1/2025,12/31/2025,478449,478449,478449,112622,8270,550,7720,357557,False,False,False,MEASURED
Hn-8,2025-08-27,XA00995846R,313,20250915,7/1/2025,12/31/2025,221300,221300,221300,0,950,60,890,220350,False,False,False,MEASURED
Hn-8,2025-09-10,XA00807540Q,215,20250930,7/1/2025,12/31/2025,41226,41226,41226,0,0,0,0,41226,False,False,False,MEASURED
Hn-8,2026-01-08,XA00822408H,201,20260320,7/1/2025,12/31/2025,6,5,6,0,0,0,0,6,False,False,False,MEASURED
Hn-9,2025-03-12,XA01131390U,902,20250331,1/1/2025,6/30/2025,512,711,603,233,0,0,0,279,False,False,False,MEASURED
Hn-9,2025-03-25,XA02256729Z,1025,20250331,1/1/2025,6/30/2025,458428,458428,458428,365065,3590,230,3360,89773,False,False,False,MEASURED
Hn-9,2025-04-08,XA02388763Y,1135,20250502,1/1/2025,6/30/2025,156949,156949,156949,0,3390,200,3190,153559,False,False,False,MEASURED
Hn-9,2025-04-23,XA02833164I,1308,20250502,1/1/2025,6/30/2025,768,729,768,0,0,0,0,768,False,False,False,MEASURED
Hn-9,2025-05-07,XA00750227I,1368,20250516,1/1/2025,6/30/2025,717,692,717,0,0,0,0,717,False,False,False,MEASURED
Hn-9,2025-05-21,XA01141073U,1238,20250624,1/1/2025,6/30/2025,34978,34978,34978,7212,300,20,280,27466,False,False,False,MEASURED
Hn-9,2025-06-17,XA00868649T,1223,20250804,1/1/2025,6/30/2025,1008550,8550,8550,0,8550,560,7990,-1,True,False,False,EXCEEDED_PARTIAL
Hn-9,2025-07-02,XA008383578,420,20250804,1/1/2025,6/30/2025,390007,390007,390007,111251,1940,130,1810,276816,False,False,False,MEASURED
Hn-9,2025-07-30,XA02110669C,560,20250819,7/1/2025,12/31/2025,1008120,8120,8120,0,8120,610,7510,-1,True,False,False,EXCEEDED_PARTIAL
Hn-9,2025-08-27,XA00775600H,507,20250915,7/1/2025,12/31/2025,181956,146123,176135,68920,1490,100,1390,111546,False,False,False,MEASURED
Hn-9,2025-09-10,XA02475062I,220,20250930,7/1/2025,12/31/2025,17044,13666,16495,0,30,0,30,17014,False,False,False,MEASURED
