plate,slot,sample_id,material,region,date,pct_change
22,4,Y-22-4,N52SH,North Linac,2025-08-27,-0.4654
22,4,Y-22-4,N52SH,North Linac,2025-10-21,-0.4692
22,4,Y-22-4,N52SH,North Linac,2026-01-12,-0.0087
23,1,Y-23-1,N42EH,SE Arc,2025-07-30,-0.0905
23,1,Y-23-1,N42EH,SE Arc,2025-08-27,-0.4018
23,1,Y-23-1,N42EH,SE Arc,2025-10-21,-0.3036
23,1,Y-23-1,N42EH,SE Arc,2026-01-08,-0.1364
23,2,Y-23-2,SmCo33H,SE Arc,2025-07-30,0.1704
23,2,Y-23-2,SmCo33H,SE Arc,2025-08-27,0.0358
23,2,Y-23-2,SmCo33H,SE Arc,2025-10-21,-0.1513
23,2,Y-23-2,SmCo33H,SE Arc,2026-01-08,-0.0928
23,3,Y-23-3,N52SH,SE Arc,2025-07-30,-0.0587
23,3,Y-23-3,N52SH,SE Arc,2025-08-27,-0.2392
23,3,Y-23-3,N52SH,SE Arc,2025-10-21,-0.2387
23,3,Y-23-3,N52SH,SE Arc,2026-01-08,-0.0583
23,4,Y-23-4,SmCo35,SE Arc,2025-07-30,0.0862
23,4,Y-23-4,SmCo35,SE Arc,2025-08-27,-0.0843
23,4,Y-23-4,SmCo35,SE Arc,2025-10-21,0.0433
23,4,Y-23-4,SmCo35,SE Arc,2026-01-08,-0.0308
24,1,Y-24-1,N52SH,South Linac,2025-07-30,-0.3545
24,1,Y-24-1,N52SH,South Linac,2025-08-27,-0.4385
24,1,Y-24-1,N52SH,South Linac,2025-10-21,-0.2798
24,1,Y-24-1,N52SH,South Linac,2026-01-12,-0.0008
24,2,Y-24-2,SmCo35,South Linac,2025-07-30,-0.081
24,2,Y-24-2,SmCo35,South Linac,2025-08-27,-0.067
24,2,Y-24-2,SmCo35,South Linac,2025-10-21,0.0473
24,2,Y-24-2,SmCo35,South Linac,2026-01-12,0.098
24,3,Y-24-3,N42EH,South Linac,2025-07-30,-0.2149
24,3,Y-24-3,N42EH,South Linac,2025-08-27,-0.542
24,3,Y-24-3,N42EH,South Linac,2025-10-21,-0.3781
24,3,Y-24-3,N42EH,South Linac,2026-01-12,-0.1022
24,4,Y-24-4,SmCo33H,South Linac,2025-07-30,-0.3741
24,4,Y-24-4,SmCo33H,South Linac,2025-08-27,-0.1504
24,4,Y-24-4,SmCo33H,South Linac,2025-10-21,-0.0067
24,4,Y-24-4,SmCo33H,South Linac,2026-01-12,-0.0035
25,1,Y-25-1,SmCo33H,NW Arc,2025-07-17,-0.86
25,1,Y-25-1,SmCo33H,NW Arc,2025-08-27,-0.2556
25,1,Y-25-1,SmCo33H,NW Arc,2025-10-23,-0.076
25,1,Y-25-1,SmCo33H,NW Arc,2026-01-08,0.0846
25,2,Y-25-2,N52SH,NW Arc,2025-07-17,-1.0314
25,2,Y-25-2,N52SH,NW Arc,2025-08-27,-0.5817
25,2,Y-25-2,N52SH,NW Arc,2025-10-23,-0.2432
25,2,Y-25-2,N52SH,NW Arc,2026-01-08,-0.1517
25,3,Y-25-3,SmCo35,NW Arc,2025-07-17,-0.9531
25,3,Y-25-3,SmCo35,NW Arc,2025-08-27,-0.454
